date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,precipitation,rain,showers,snowfall,cloud_cover,visibility,wind_speed_10m,wind_direction_10m,uv_index,uv_index_clear_sky,is_day,location,key
2024-08-12 07:00:00+00:00,15.624,92.0,14.328151,16.762007,0.0,0.0,0.0,0.0,0.0,3.0,13700.0,1.9386592,291.80148,0.0,0.0,0.0,San Jose,San Jose 2024-08-12 07:00:00+00:00
2024-08-12 07:00:00+00:00,31.187,39.0,15.596386,32.171886,15.0,0.0,0.0,0.0,0.0,0.0,49400.0,6.2145634,259.9921,0.0,0.0,0.0,Phoenix,Phoenix 2024-08-12 07:00:00+00:00
2024-08-12 08:00:00+00:00,15.324,93.0,14.198046,16.32978,0.0,0.0,0.0,0.0,0.0,5.0,13200.0,2.52,270.0,0.0,0.0,0.0,San Jose,San Jose 2024-08-12 08:00:00+00:00
2024-08-12 08:00:00+00:00,27.3975,63.0,19.732445,29.391125,34.0,0.0,0.0,0.0,0.0,100.0,27200.0,11.874544,165.96373,0.0,0.0,0.0,Dallas,Dallas 2024-08-12 08:00:00+00:00
2024-08-12 08:00:00+00:00,30.337,40.0,15.233809,31.195461,30.0,0.0,0.0,0.0,0.0,0.0,48400.0,6.12,28.072395,0.0,0.0,0.0,Phoenix,Phoenix 2024-08-12 08:00:00+00:00
2024-08-12 08:00:00+00:00,19.0135,72.0,13.850852,19.977518,0.0,0.0,0.0,0.0,0.0,2.0,23600.0,1.9386592,158.19853,0.0,0.0,0.0,New York,New York 2024-08-12 08:00:00+00:00
2024-08-12 08:00:00+00:00,26.376,88.0,24.227148,31.438652,0.0,0.0,0.0,0.0,0.0,13.0,14200.0,8.0899935,147.72438,0.0,0.0,0.0,San Antonio,San Antonio 2024-08-12 08:00:00+00:00
2024-08-12 08:00:00+00:00,20.317001,96.0,19.657694,23.517355,7.0,0.0,0.0,0.0,0.0,100.0,12200.0,3.396233,212.00534,0.0,0.0,0.0,San Diego,San Diego 2024-08-12 08:00:00+00:00
2024-08-12 08:00:00+00:00,19.436499,96.0,18.781588,22.046755,0.0,0.0,0.0,0.0,0.0,11.0,12200.0,4.5536795,288.43503,0.0,0.0,0.0,Los Angeles,Los Angeles 2024-08-12 08:00:00+00:00
2024-08-12 08:00:00+00:00,18.898,87.0,16.68623,20.959536,0.0,0.0,0.0,0.0,0.0,71.0,16100.0,1.9386592,68.19853,0.0,0.0,0.0,Philadelphia,Philadelphia 2024-08-12 08:00:00+00:00
2024-08-12 08:00:00+00:00,26.9305,88.0,24.77283,33.331047,0.0,0.0,0.0,0.0,0.0,1.0,15200.0,1.2979984,56.309914,0.0,0.0,0.0,Houston,Houston 2024-08-12 08:00:00+00:00
2024-08-12 08:00:00+00:00,15.879999,65.0,9.309188,14.364082,0.0,0.0,0.0,0.0,0.0,87.0,27000.0,9.178235,258.6901,0.0,0.0,0.0,Chicago,Chicago 2024-08-12 08:00:00+00:00
2024-08-12 09:00:00+00:00,26.8975,66.0,20.009686,29.120674,10.0,0.0,0.0,0.0,0.0,100.0,24900.0,11.252519,172.64772,0.0,0.0,0.0,Dallas,Dallas 2024-08-12 09:00:00+00:00
2024-08-12 09:00:00+00:00,14.824,94.0,13.867076,15.746025,0.0,0.0,0.0,0.0,0.0,14.0,12700.0,2.2768397,288.43503,0.0,0.0,0.0,San Jose,San Jose 2024-08-12 09:00:00+00:00
2024-08-12 09:00:00+00:00,26.6805,88.0,24.526806,32.66087,0.0,0.0,0.0,0.0,0.0,1.0,14900.0,3.096837,125.537766,0.0,0.0,0.0,Houston,Houston 2024-08-12 09:00:00+00:00
2024-08-12 09:00:00+00:00,29.786999,40.0,14.742845,30.530178,45.0,0.0,0.0,0.0,0.0,0.0,48400.0,5.634891,296.56497,0.0,0.0,0.0,Phoenix,Phoenix 2024-08-12 09:00:00+00:00
2024-08-12 09:00:00+00:00,18.713501,72.0,13.562552,19.526318,0.0,0.0,0.0,0.0,0.0,100.0,23700.0,2.2768397,198.43504,0.0,0.0,0.0,New York,New York 2024-08-12 09:00:00+00:00
2024-08-12 09:00:00+00:00,15.33,67.0,9.23618,13.763706,0.0,0.0,0.0,0.0,0.0,100.0,25700.0,9.3876505,265.60138,0.0,0.0,0.0,Chicago,Chicago 2024-08-12 09:00:00+00:00
2024-08-12 09:00:00+00:00,18.6365,99.0,18.47594,21.119448,0.0,0.0,0.0,0.0,0.0,44.0,400.0,4.452954,284.03625,0.0,0.0,0.0,Los Angeles,Los Angeles 2024-08-12 09:00:00+00:00
2024-08-12 09:00:00+00:00,19.967001,98.0,19.641165,23.25493,6.0,0.0,0.0,0.0,0.0,100.0,200.0,2.7416782,246.80138,0.0,0.0,0.0,San Diego,San Diego 2024-08-12 09:00:00+00:00
2024-08-12 09:00:00+00:00,25.876,90.0,24.10898,31.010956,0.0,0.0,0.0,0.0,0.0,5.0,13400.0,7.0911775,156.0375,0.0,0.0,0.0,San Antonio,San Antonio 2024-08-12 09:00:00+00:00
2024-08-12 09:00:00+00:00,18.698,89.0,16.847466,21.035942,0.0,0.0,0.0,0.0,0.0,100.0,15400.0,0.5091169,135.0001,0.0,0.0,0.0,Philadelphia,Philadelphia 2024-08-12 09:00:00+00:00
2024-08-12 10:00:00+00:00,18.448,87.0,16.243788,20.341803,0.0,0.0,0.0,0.0,0.0,100.0,16000.0,1.835647,191.30989,0.0,0.0,0.0,Philadelphia,Philadelphia 2024-08-12 10:00:00+00:00
2024-08-12 10:00:00+00:00,26.3475,73.0,21.119352,29.396858,7.0,0.0,0.0,0.0,0.0,100.0,21100.0,9.531505,169.11452,0.0,0.0,0.0,Dallas,Dallas 2024-08-12 10:00:00+00:00
2024-08-12 10:00:00+00:00,14.83,70.0,9.409479,13.366804,0.0,0.0,0.0,0.0,0.0,23.0,24200.0,9.007196,267.70944,0.0,0.0,0.0,Chicago,Chicago 2024-08-12 10:00:00+00:00
2024-08-12 10:00:00+00:00,26.4305,89.0,24.46942,32.17688,0.0,0.0,0.0,0.0,0.0,3.0,14500.0,4.452954,75.96373,0.0,0.0,0.0,Houston,Houston 2024-08-12 10:00:00+00:00
2024-08-12 10:00:00+00:00,18.186499,100.0,18.1865,20.7534,0.0,0.0,0.0,0.0,0.0,100.0,100.0,2.968636,284.03625,0.0,0.0,0.0,Los Angeles,Los Angeles 2024-08-12 10:00:00+00:00
2024-08-12 10:00:00+00:00,19.917,99.0,19.754866,23.282413,4.0,0.0,0.0,0.0,0.0,100.0,100.0,2.5959969,303.6901,0.0,0.0,0.0,San Diego,San Diego 2024-08-12 10:00:00+00:00
2024-08-12 10:00:00+00:00,25.575998,93.0,24.359123,31.418972,0.0,0.0,0.0,0.0,0.0,13.0,12800.0,3.319036,130.60121,0.0,0.0,0.0,San Antonio,San Antonio 2024-08-12 10:00:00+00:00
2024-08-12 10:00:00+00:00,18.563501,72.0,13.418395,19.326,0.0,0.0,0.0,0.0,0.0,100.0,23900.0,2.2768397,198.43504,0.0,0.0,0.0,New York,New York 2024-08-12 10:00:00+00:00
2024-08-12 10:00:00+00:00,29.286999,42.0,15.052911,30.024693,42.0,0.0,0.0,0.0,0.0,0.0,46400.0,6.4799995,270.0,0.0,0.0,0.0,Phoenix,Phoenix 2024-08-12 10:00:00+00:00
2024-08-12 10:00:00+00:00,14.424,96.0,13.793833,15.086607,0.0,0.0,0.0,0.0,0.0,37.0,12200.0,3.8773184,291.80148,0.0,0.0,0.0,San Jose,San Jose 2024-08-12 10:00:00+00:00
